"id","步骤描述（目前不做手套）","步骤类型 （暂时不配表，与 RecordStepType 对应 更换的记录可以配置成安装类型，所有安装的记录都是安装上一个未损坏的物品","步骤参数（逗号分割）",
"ID","Title","Type","Params",
1,"使用钳子拆卸排水管卡箍",1,"2_1_1",
2,"拔出排水管",1,"2_1",
,,1,,
3,"使用钳子拆卸进水管卡箍",1,"2_2_1",
4,"拔出进水管",1,"2_2",
,,1,,
5,"使用钳子拆卸排气管卡箍",1,"2_3_1",
6,"拔出排气管",1,"2_3",
,,1,,
7,"拆卸充配电总成低压线束插接件",1,"2_4",
,,1,,
8,"拔出电动压缩机高压插接件",1,"2_6",
,,1,,
9,"拔出交流充电高压插接件",1,"2_7",
,,,,
10,"拔出空调PTC高压插接件",1,"2_5",
,,1,,
11,"拆卸低压正极输出线护盖",1,"2_99",
12,"使用中号棘轮扳手、接杆和13号六角套筒拆卸充配电总成低压正极输出线螺母",1,"2_8_1",
13,"拆卸充配电总成低压正极输出线",1,"2_8",
,,1,,
14,"使用中号棘轮扳手和13号六角套筒拆卸充配电总成搭铁线（左）螺栓",1,"2_9_1",
15,"使用中号棘轮扳手和13号六角套筒拆卸充配电总成搭铁线（右）螺栓",1,"2_10_1",
16,"拆卸充配电总成搭铁线（左）",1,"2_9",
17,"拆卸充配电总成搭铁线（右）",1,"2_10",
,,,,
18,"使用十字螺栓刀拆卸充配电总成直流充电维修盖板三颗螺栓",1,"2_11_1,2_11_2,2_11_4",
19,"使用旋柄拆卸一颗五角螺栓",1,"2_11_3",
20,"拆卸直流充电维修盖板",1,"2_11",
,,,,
21,"使用中号棘轮扳手、接杆和10号六角套筒拆卸直流充电线束（正）固定螺栓",1,"2_12_1,2_12_2",
22,"使用中号棘轮扳手、接杆和10号六角套筒拆卸直流充电线束（负）固定螺栓",1,"2_13_1,2_13_2",
23,"拔出直流充电输入线束（正）",1,"2_12",
24,"拔出直流充电输入线束（负）",1,"2_13",
,,1,,
25,"使用十字螺栓刀拆卸充配电总成动力母线维修盖板五颗螺栓",1,"2_14_2,2_14_3,2_14_4,2_14_5,2_14_6",
26,"使用旋柄拆卸一颗五角螺栓",1,"2_14_1",
27,"拆卸动力母线维修盖板",1,"2_14",
,,1,,
28,"使用中号棘轮扳手、接杆和10号六角套筒拆卸电控甩线（正）固定螺栓",1,"2_15_1,2_15_2",
29,"使用中号棘轮扳手、接杆和10号六角套筒拆卸电控甩线（负）固定螺栓",1,"2_16_1,2_16_2",
30,"拔出电控甩线（正）",1,"2_15",
31,"拔出电控甩线（负）",1,"2_16",
,,1,,
32,"使用中号棘轮扳手、接杆和10号六角套筒拆卸动力电池直流母线（正）固定螺栓",1,"2_17_1,2_17_2",
33,"使用中号棘轮扳手、接杆和10号六角套筒拆卸动力电池直流母线（负）固定螺栓",1,"2_18_1,2_18_2",
34,"拔出动力电池直流母线（正）",1,"2_17",
35,"拔出动力电池直流母线（负）",1,"2_18",
,,1,,
36,"使用中号棘轮扳手、接杆和13号六角套筒拆卸充配电总成四颗螺栓",1,"2_0_1,2_0_2,2_0_3,2_0_4",
37,"拆卸充配电总成",1,"2_0",
,,,,
38,"装入新的充配电总成",2,"2_0",
,,,,
39,"使用中号棘轮扳手、接杆和13号六角套筒预紧充配电总成螺栓",2,"2_0_1,2_0_2,2_0_3,2_0_4",
40,"使用40Nm量程的扭力扳手、接杆和13号六角套筒紧固充配电总成螺栓至标准力矩15±1N.m",3,"2_0_1,2_0_2,2_0_3,2_0_4",
,,,,
41,"插入动力电池直流母线（正）至充配电总成",2,"2_17",
42,"使用中号棘轮扳手、接杆和10号六角套筒预紧动力电池直流母线（正）螺栓",2,"2_17_1,2_17_2",
43,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（正）螺栓至标准力矩9±1N.m",3,"2_17_1,2_17_2",
44,"插入动力电池直流母线（负）至充配电总成",2,"2_18",
45,"使用中号棘轮扳手、接杆和10号六角套筒预紧动力电池直流母线（负）螺栓",2,"2_18_1,2_18_2",
46,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（负）螺栓至标准力矩9±1N.m",3,"2_18_1,2_18_2",
,,,,
47,"插入电控甩线（正）至充配电总成",2,"2_15",
48,"使用中号棘轮扳手、接杆和10号六角套筒预紧电控甩线（正）螺栓",2,"2_15_1,2_15_2",
49,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（正）螺栓至标准力矩9±1N.m",3,"2_15_1,2_15_2",
50,"插入电控甩线（负）至充配电总成",2,"2_16",
51,"使用中号棘轮扳手、接杆和10号六角套筒预紧电控甩线（负）螺栓",2,"2_16_1,2_16_2",
52,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（负）螺栓至标准力矩9±1N.m",3,"2_16_1,2_16_2",
,,,,
53,"插入直流充电线束（正）至充配电总成",2,"2_12",
54,"使用中号棘轮扳手、接杆和10号六角套筒预紧直流充电线束（正）螺栓",2,"2_12_1,2_12_2",
55,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（正）螺栓至标准力矩9±1N.m",3,"2_12_1,2_12_2",
56,"插入直流充电线束（负）至充配电总成",2,"2_13",
57,"使用中号棘轮扳手、接杆和10号六角套筒预紧直流充电线束（负）螺栓",2,"2_13_1,2_13_2",
58,"使用40N.m量程的扭力扳手和10号六角套筒紧固线束（负）螺栓至标准力矩9±1N.m",3,"2_13_1,2_13_2",
,,,,
59,"装入充配电总成动力母线维修盖板",2,"2_14",
60,"使用十字螺栓刀紧固五颗螺栓",2,"2_14_2,2_14_3,2_14_4,2_14_5,2_14_6",
61,"使用旋柄紧固一颗五角螺栓",2,"2_14_1",
,,,,
62,"装入充配电总成直流充电维修盖板",2,"2_11",
63,"使用十字螺栓刀紧固三颗螺栓",2,"2_11_1,2_11_2,2_11_4",
64,"使用旋柄紧固一颗五角螺栓",2,"2_11_3",
,,,,
65,"安装充配电总成搭铁线（左）至充配电总成上",2,"2_9",
66,"使用中号棘轮扳手和13号六角套筒预紧搭铁线（左）螺栓",2,"2_9_1",
67,"使用40N.m量程的扭力扳手和13号六角套筒紧固搭铁线（左）螺栓至标准力矩15±1N.m",3,"2_9_1",
68,"安装充配电总成搭铁线（右）至充配电总成上",2,"2_10",
69,"使用中号棘轮扳手和13号六角套筒预紧搭铁线（右）螺栓",2,"2_10_1",
70,"使用40N.m量程的扭力扳手和13号六角套筒紧固搭铁线（右）螺栓至标准力矩15±1N.m",3,"2_10_1",
,,,,
71,"安装低压正极输出线至充配电总成上",2,"2_8",
72,"使用中号棘轮扳手、接杆和13号六角套筒预紧螺母",2,"2_8_1",
73,"使用40N.m量程的扭力扳手、接杆和13号六角套筒紧固螺母至标准力矩15±1N.m",3,"2_8_1",
74,"安装低压正极输出线护盖",2,"2_99",
,,,,
75,"插入交流充电口高压插接件",2,"2_7",
,,,,
76,"插入电动压缩机高压插接件",2,"2_6",
,,,,
77,"插入空调PTC高压插接件",2,"2_5",
,,,,
78,"插入充配电总成低压线束插接件",2,"2_4",
,,,,
79,"插入排水管",2,"2_1",
80,"使用钳子将排水管卡箍装入原位",2,"2_1_1",
,,,,
81,"插入进水管",2,"2_2",
82,"使用钳子将进水管卡箍装入原位",2,"2_2_1",
,,2,,
83,"插入排气管",2,"2_3",
84,"使用钳子将排气管卡箍装入原位",2,"2_3_1",
,,,,
85,"使用中号棘轮扳手、接杆和10号六角套筒拆卸蓄电池负极接口连接螺栓",1,"1_2_1",
86,"拆下蓄电池负极",1,"1_2",
,,,,
87,"使用中号棘轮扳手、接杆和10号六角套筒拆卸蓄电池正极接口连接螺母",1,"1_3_1",
88,"拆下蓄电池正极",1,"1_3",
,,,,
89,"使用中号棘轮扳手、接杆和10号六角套筒拆卸蓄电池紧固螺栓",1,"1_1_1,1_1_2",
90,"拆卸蓄电池固定片",1,"1_1",
,,,,
91,"拆下蓄电池",1,"1_0",
,,,,
92,"更换蓄电池",2,"1_0",
,,,,
93,"装入蓄电池固定片",2,"1_1",
94,"使用中号棘轮扳手、接杆和10号六角套筒预紧蓄电池紧固螺栓",2,"1_1_1,1_1_2",
95,"使用40N.m量程的扭力扳手、接杆和10号六角套筒紧固蓄电池紧固螺栓至标准力矩9±1N.m",3,"1_1_1,1_1_2",
,,,,
96,"装入蓄电池负极",2,"1_2",
97,"使用中号棘轮扳手、接杆和10号六角套筒预紧蓄电池负极接口螺栓",2,"1_2_1",
98,"使用40N.m量程的扭力扳手、接杆和10号六角套筒紧固蓄电池负极接口螺栓至标准力矩9±1N.m",3,"1_2_1",
,,,,
99,"装入蓄电池正极",2,"1_3","10号螺母"
100,"使用中号棘轮扳手、接杆和10号六角套筒预紧蓄电池正极接口螺母",2,"1_3_1",
101,"使用40N.m量程的扭力扳手、接杆和10号六角套筒紧固蓄电池正极接口螺母至标准力矩9±1N.m",3,"1_3_1",
,,,,
102,"打开中央扶手箱盖",1,"3_1",
103,"使用十字螺栓刀拆卸中央扶手箱储物盒四颗螺栓",1,"3_2_1,3_2_2,3_2_3,3_2_4",
104,"取出中央扶手箱储物盒",1,"3_2",
,,,,
105,"拔出维修开关，等待5分钟及以上才能进行下一步操作",1,"3_3",
,,,,
106,"装入维修开关",2,"3_3",
,,,,
107,"装入中央扶手箱储物盒",2,"3_2",
108,"使用十字螺栓紧固中央扶手箱储物盒四颗螺栓",2,"3_2_1,3_2_2,3_2_3,3_2_4",
109,"关闭中央扶手箱",2,"3_1",
,,,,
,,,,
,,,,
9001,"举升车辆至中位(适当位置)并进行锁止",5,1,
9002,"降下车辆至地面",5,0,
9011,"举升车辆至高位(适当位置)并进行锁止",5,2,
9012,"降下车辆至中位(适当位置)并进行锁止",5,1.5,
,,,,
,,,,
201,"使用大号棘轮扳手、接杆和17号六角套筒拆卸底盘下部隔板螺栓",1,"4_1_1,4_1_2",
202,"拆卸底盘下部隔板",1,"4_1",
,,,,
203,"拔下动力电池信号采样通信插接件",1,"4_2",
,,,,
204,"拔下动力电池母线高压插接件",1,"4_3",
,,,,
,,,,
205,"使用钳子拆卸冷却液出水管道卡箍",1,"4_4_1",
206,"拔出冷却管出水管道",1,"4_4",
,,,,
207,"使用钳子拆卸冷却液进水管道卡箍",1,"4_5_1",
208,"拔出冷却管进水管道",1,"4_5",
,,,,
209,"使用大号棘轮扳手、接杆和18号六角套筒拆卸动力电池托盘紧固螺栓",1,"4_0_1,4_0_2,4_0_3,4_0_4,4_0_5,4_0_6,4_0_7,4_0_8,4_0_9,4_0_10",
,"拆下动力电池",1,"4_0",
,,,,
,,,,
,"装入新的动力电池",2,"4_0",
,,,,
212,"使用大号棘轮扳手、接杆和18号六角套筒预紧动力电池托盘紧固螺栓",2,"4_0_1,4_0_2,4_0_3,4_0_4,4_0_5,4_0_6,4_0_7,4_0_8,4_0_9,4_0_10",
213,"使用200N.m扭力扳手、接杆和18号六角套筒紧固动力电池托盘紧固螺栓至标准力矩135±1N.m",3,"4_0_1,4_0_2,4_0_3,4_0_4,4_0_5,4_0_6,4_0_7,4_0_8,4_0_9,4_0_10",
,,,,
214,"插入冷却管进水管道",2,"4_5",
215,"用钳子夹住进水管卡箍装回原位置",2,"4_5_1",
,,,,
216,"插入冷却管出水管道",2,"4_4",
217,"用钳子夹住出水管卡箍装回原位置",2,"4_4_1",
,,,,
218,"安装动力电池直流母线高压插接件",2,"4_3",
,,,,
219,"安装动力电池信号采样通信插接件",2,"4_2",
,,,,
220,"安装底盘下部隔板",2,"4_1",
221,"使用大号棘轮扳手、接杆和17号六角套筒预紧动力电池托盘紧固螺栓",2,"4_1_1,4_1_2",
222,"使用200N.m扭力扳手、接杆和17号六角套筒紧底盘下部隔板至标准力矩110±1N.m",3,"4_1_1,4_1_2",
,,,,
,,,,
,,1,,
225,"拔出前舱交流充电低压插接件",1,"5_1",
,,1,,
227,"拔出直流充电低压插接件",1,"6_1",
,,1,,
228,"用中号棘轮扳手、接杆和10号六角套筒拆卸交流充电线束搭铁2颗螺栓",1,"5_0_5,5_0_6",
229,"用中号棘轮扳手、接杆和10号六角套筒拆卸直流充电线束搭铁2颗螺栓",1,"6_0_7,6_0_8",
,,1,,
231,"用中号棘轮扳手、接杆和10号六角套筒拆卸直流充电口4颗固定螺栓",1,"6_0_1,6_0_2,6_0_3,6_0_4",
232,"用中号棘轮扳手、接杆和10号六角套筒拆卸充电口上的安装支架2颗固定螺栓",1,"6_2_1,6_2_2",
233,"拆卸直流充电口上安装支架",1,"6_2",
234,"取出直流充电口",1,6,
,,1,,
235,"用中号棘轮扳手、接杆和10号六角套筒拆卸交流充电口4颗固定螺栓",1,"5_0_1,5_0_2,5_0_3,5_0_4",
236,"取出交流充电口",1,5,
,,,,
238,"安装新的交流充电口",2,5,
239,"用中号棘轮扳手、接杆和10号六角套筒预紧交流充电口4颗螺栓",2,"5_0_1,5_0_2,5_0_3,5_0_4",
240,"用40N.m量程扭力扳手、接杆和10号六角套筒紧固交流充电口螺栓至标准力矩8±1N.m",3,"5_0_1,5_0_2,5_0_3,5_0_4",
,,2,,
241,"安装新的直流充电口",2,6,
242,"安装充电口上的安装支架",2,"6_2",
243,"用中号棘轮扳手、接杆和10号六角套筒预紧安装支架4颗固定螺栓",2,"6_2_1,6_2_2,6_0_1,6_0_2",
244,"用中号棘轮扳手、接杆和10号六角套筒预紧直流充电口2颗固定螺栓",2,"6_0_3,6_0_4",
245,"用40N.m量程扭力扳手、接杆和10号六角套筒紧固6颗螺栓至标准力矩8±1N.m",3,"6_0_1,6_0_2,6_0_3,6_0_4,6_2_1,6_2_2",
,,2,,
246,"用中号棘轮扳手、接杆和10号六角套筒预紧交流充电线束搭铁2颗螺栓",2,"5_0_5,5_0_6",
247,"用40N.m量程扭力扳手、接杆和10号六角套筒紧固螺栓至标准力矩8±1N.m",3,"5_0_5,5_0_6",
248,"用中号棘轮扳手、接杆和10号六角套筒预紧直流充电线束搭铁2颗螺栓",2,"6_0_7,6_0_8",
249,"用40N.m量程扭力扳手、接杆和10号六角套筒紧固螺栓至标准力矩8±1N.m",3,"6_0_7,6_0_8",
,,2,,
250,"安装直流充电低压插接件",2,"6_1",
,,2,,
251,"安装交流充电低压插接件",2,"5_1",
,,,,
,,,,
,,,,
252,"使用中号棘轮扳手、接杆、13号六角套筒拆卸电动真空泵固定螺栓",1,"8_1_1,8_1_2,8_1_3,8_1_4",
253,"拆卸电动真空泵",1,"8_1",
254,"使用中号棘轮扳手、接杆、10号六角套筒拆卸电动真空泵支架固定螺栓",1,"8_2_1,8_2_2,8_2_3",
255,"拆卸电动真空泵支架",1,"8_2",
,,1,,
257,"使用大号棘轮、接杆和21号六角套筒以交叉方式拆卸左前轮胎螺母",1,"8_3_1,8_3_2,8_3_3,8_3_4,8_3_5","轮胎拆分 电动真空泵调整"
258,"拆卸左前轮胎并放置于轮胎架",1,"8_3",
259,"使用大号棘轮、接杆和32号六角套筒拆卸左前半轴锁紧螺母",1,"8_3_6",
260,"使用大号棘轮、接杆和21号六角套筒以交叉方式拆卸右前轮胎螺母",1,"8_4_1,8_4_2,8_4_3,8_4_4,8_4_5",
261,"拆卸右前轮胎并放置于轮胎架",1,"8_4",
262,"使用大号棘轮、接杆和32号六角套筒拆卸右前半轴锁紧螺母",1,"8_4_6",
,,1,,
264,"使用大号棘轮、18号六角套筒拆卸左下控制臂连接球头总成螺母",1,"8_14_5,8_14_6,8_14_7",
,,1,,
266,"用大号棘轮扳手和18号六角套筒拆卸平衡左侧杆拉杆球头上侧和下侧两颗螺母",1,"8_14_1,8_14_2",
267,"拆卸平衡杆左侧拉杆",1,"8_14",
,,1,,
,"分离左前转向节",1,,
270,"拆卸左前半轴总成",1,"8_15",
,,1,,
272,"使用大号棘轮、18号六角套筒拆卸右下摆臂连接球头螺母和螺栓",1,"8_5_5,8_5_6,8_5_7",
,,1,,
274,"用大号棘轮扳手和18号六角套筒拆卸平衡杆右侧拉杆球头上侧和下侧螺母",1,"8_5_1,8_5_2",
275,"拆卸平衡杆右侧拉杆",1,"8_5",
,,1,,
,"分离右前转向节",1,,
278,"拆卸右前半轴总成",1,"8_6",
,,1,,
280,"使用钳子拆卸电控冷却液出水管卡夹",1,"8_8_1","电控冷却液"
281,"拔出电控冷却液出水管",1,"8_8",
282,"使用钳子拆卸电控冷却液进水管卡夹",1,"8_9_1","电控冷却液"
283,"拔出电控冷却液进水管",1,"8_9","增加的水管"
,,1,,
,"使用十字螺丝刀拆卸电动机水泵固定螺栓",1,"8_9_1,8_9_2","跳过，作为动力总成一部分"
,"拆卸电动水泵",1,"8_9",
,,1,,
286,"使用中号棘轮扳手、接杆和10号六角套筒拆卸电动压缩机4颗固定螺栓",1,"8_16_4,8_16_5,8_16_6,8_16_7",
287,"拆卸电动压缩机",1,"8_16",
,,,,
1282,"使用大号棘轮扳手、16号六角套筒拆卸动力总成左侧支架连接螺栓",1,"8_12_1,8_12_2,8_12_3",
1283,"使用大号棘轮扳手、18号六角套筒拆卸动力总成左侧支架连接螺栓",1,"8_12_4",
1284,"拆卸动力总成左侧支架",1,"8_12",
,,1,,
1285,"使用大号棘轮扳手、16号六角套筒拆卸动力总成右侧支架连接螺栓",1,"8_11_1,8_11_2,8_11_3",
1286,"使用大号棘轮扳手、18号六角套筒拆卸动力总成右侧支架连接螺母",1,"8_11_4",
1287,"拆卸动力总成右侧支架",1,"8_11",
,,,,
288,"使用大号棘轮扳手、16号六角套筒拆卸动力总成后侧支架连接螺栓",1,"8_10_1,8_10_2,8_10_3",
289,"使用大号棘轮扳手、18号六角套筒拆卸动力总成后侧支架连接螺栓",1,"8_10_5",
290,"拆卸动力总成后侧支架",1,"8_10",
,,1,,
297,"拆卸动力总成",1,"8_13",
,,,,
299,"更换动力总成",2,"8_13",
,,,,
308,"安装动力总成后侧支架",2,"8_10",
309,"使用大号棘轮扳手、18号六角套筒预紧动力总成后侧支架螺栓",2,"8_10_5",
310,"使用200N.m扭力扳手和18号六角套筒紧固螺栓至标准力矩89±5N.m",3,"8_10_5",
311,"使用大号棘轮扳手、16号六角套筒预紧动力总成后侧支架螺栓",2,"8_10_1,8_10_2,8_10_3",
312,"使用200N.m扭力扳手和16号六角套筒紧固螺栓至标准力矩85±1N.m",3,"8_10_1,8_10_2,8_10_3",
,,,,
1313,"安装动力总成右侧支架",2,"8_11",
1314,"使用大号棘轮和18号六角套筒预紧动力总成右侧支架螺母",2,"8_11_4",
1315,"使用200N.m扭力扳手和18号六角套筒紧固螺母至标准力矩90N.m",3,"8_11_4",
1316,"使用大号棘轮扳手、16号六角套筒预紧动力总成右侧支架螺栓",2,"8_11_1,8_11_2,8_11_3",
1317,"使用200N.m扭力扳手和16号六角套筒紧固螺栓至标准力矩85±1N.m",3,"8_11_1,8_11_2,8_11_3",
,,,,
1318,"安装动力总成左侧支架",2,"8_12",
1319,"使用大号棘轮扳手、18号六角套筒预紧动力总成左侧支架螺栓",2,"8_12_4",
1320,"使用200N.m扭力扳手和18号六角套筒紧固螺栓至标准力矩89±5N.m",3,"8_12_4",
1321,"使用大号棘轮扳手、16号六角套筒预紧动力总成左侧支架螺栓",2,"8_12_1,8_12_2,8_12_3",
1322,"使用200N.m扭力扳手和16号六角套筒紧固螺栓至标准力矩85±1N.m",3,"8_12_1,8_12_2,8_12_3",
,,,,
1312,"安装电动压缩机",2,"8_16",
313,"使用中号棘轮扳手、接杆和10号六角套筒预紧电动压缩机4颗螺栓",2,"8_16_4,8_16_5,8_16_6,8_16_7",
314,"使用40N.m扭力扳手、接杆和10号六角套筒紧固螺栓至标准力矩25N.m",3,"8_16_4,8_16_5,8_16_6,8_16_7",
,,2,,
,"安装电动水泵",2,"8_9",
,"用十字螺栓刀紧固电动水泵螺栓 ",2,"8_9_1,8_9_2",
,,2,,
318,"插入电控冷却液出水管",2,"8_8",
319,"用钳子安装电机电控冷却液出水管卡夹",2,"8_8_1",
320,"插入电控冷却液进水管",2,"8_9",
321,"用钳子安装电机电控冷却液进水管卡夹",2,"8_9_1",
,,,,
322,"将右前半轴内侧插入变速器中",2,"8_6",
,"紧固右前转向节",2,,
,,2,,
325,"使用大号棘轮和18号六角套筒预紧右下摆臂连接球头总成螺母和螺栓",2,"8_5_5,8_5_6,8_5_7",
326,"使用200N.m扭力扳手和18号六角套筒紧固螺母和螺栓至标准力矩90N.m",3,"8_5_5,8_5_6,8_5_7",
,,2,,
328,"安装平衡杆右侧拉杆",2,"8_5",
329,"用大号棘轮扳手和18号六角套筒预紧平衡杆右侧拉杆球头上侧和下侧螺母",2,"8_5_1,8_5_2",
330,"使用200N.m扭力扳手和18号六角套筒紧固螺母至标准力矩90N.m",3,"8_5_1,8_5_2",
,,2,,
335,"将左前半轴内侧插入变速器中",2,"8_15",
,"紧固左前转向节",2,,
,,2,,
338,"使用大号棘轮和18号六角套筒预紧左下摆臂连接球头总成螺母和螺栓",2,"8_14_5,8_14_6,8_14_7",
339,"使用200N.m扭力扳手和18号六角套筒紧固螺母和螺栓至标准力矩90N.m",3,"8_14_5,8_14_6,8_14_7",
,,2,,
341,"安装平衡杆左侧拉杆",2,"8_14",
342,"用大号棘轮扳手和18号六角套筒预紧平衡杆左侧拉杆球头上侧和下侧螺母",2,"8_14_1,8_14_2",
343,"使用200N.m扭力扳手和18号六角套筒紧固螺母至标准力矩90N.m",3,"8_14_1,8_14_2",
,,2,,
345,"使用大号棘轮、接杆和32号六角套筒预紧左前半轴锁紧螺母",2,"8_3_6",
346,"使用200N.m扭力扳手、接杆和32号六角套筒紧固左前半轴锁紧螺母至标准力矩195N.m",3,"8_3_6",
347,"从轮胎架拿取左前轮胎安装",2,"8_3",
348,"用大号棘轮扳手、接杆和21六角套筒以交叉方式预紧左前轮胎螺母",2,"8_3_1,8_3_2,8_3_3,8_3_4,8_3_5",
,,,,
351,"使用大号棘轮、接杆和32号六角套筒预紧右前半轴锁紧螺母",2,"8_4_6",
352,"使用200N.m扭力扳手、接杆和32号六角套筒紧固右前半轴锁紧螺母至标准力矩195N.m",3,"8_4_6",
353,"从轮胎架拿取右前轮胎安装",2,"8_4",
354,"用大号棘轮扳手、接杆和21六角套筒以交叉方式预紧右前轮胎螺母",2,"8_4_1,8_4_2,8_4_3,8_4_4,8_4_5",
,,,,
355,"用200N.m的扭力扳手、接杆和21六角套筒紧固螺母至标准力矩105N.m",3,"8_4_1,8_4_2,8_4_3,8_4_4,8_4_5","右"
349,"用200N.m的扭力扳手、接杆和21六角套筒紧固螺母至标准力矩105N.m",3,"8_3_1,8_3_2,8_3_3,8_3_4,8_3_5","左"
,,2,,
357,"安装电动真空泵支架",2,"8_2",
358,"使用中号棘轮扳手、接杆和10号六角套筒预紧电动真空泵支架螺栓",2,"8_2_1,8_2_2,8_2_3",
359,"使用40N.m扭力扳手、接杆和10号六角套紧固螺栓至标准力矩25N.m",3,"8_2_1,8_2_2,8_2_3",
360,"安装电动真空泵",2,"8_1",
361,"使用中号棘轮扳手、接杆和13号六角套筒预紧电动真空泵螺栓",2,"8_1_1,8_1_2,8_1_3,8_1_4",
362,"使用40N.m扭力扳手、接杆和13号六角套筒紧固螺栓至标准力矩45N.m",3,"8_1_1,8_1_2,8_1_3,8_1_4",
,,,,
363,"拔下电池管理器上的动力电池采样线插接件(BMC01)",1,"12_1",
364,"拔下电池管理器上的整车低压线束插接件(BMC02)",1,"12_2",
365,"用小号棘轮扳手、10号六角套筒拆卸电池管理器三颗固定螺栓",1,"12_0_1,12_0_2,12_0_3",
366,"取下电池管理器",1,"12_0",
367,"安装新的电池管理器",2,"12_0",
368,"安装电池管理器上的动力电池采样线插件(BMC01)",2,"12_1",
369,"安装电池管理器上的整车低压线束插接件(BMC02)",2,"12_2",
370,"使用小号棘轮扳手、10号六角套筒预紧螺栓",2,"12_0_1,12_0_2,12_0_3",
371,"使用20N.m扭力扳手、10号六角套筒紧固螺栓至9±1N.m",3,"12_0_1,12_0_2,12_0_3",
,,,,
,,,,
,,,,
372,"拔出空调PTC低压插接件",1,"13_1",
,,,,
373,"用钳子拆卸PTC暖风进水管卡扣",1,"13_2_1",
374,"拔出PTC暖风进水管",1,"13_2",
375,"用钳子拆卸PTC暖风出水管卡扣",1,"13_3_1",
376,"拔出PTC暖风出水管",1,"13_3",
,,,,
377,"用中号棘轮扳手、接杆和10号六角套筒拆卸PTC支架3颗螺栓",1,"13_0_1,13_0_2,13_0_3",
378,"取下空调PTC加热器",1,"13_0",
,,,,
379,"安装空调PTC加热器",2,"13_0",
380,"用中号棘轮扳手、接杆和10号六角套筒预紧PTC支架3颗螺栓",2,"13_0_1,13_0_2,13_0_3",
381,"用40N.m扭力扳手、接杆和10号六角套筒紧固螺栓至标准力矩9±1N.m",3,"13_0_1,13_0_2,13_0_3",
,,,,
382,"插入PTC暖风出水管",2,"13_3",
383,"用钳子安装PTC暖风出水管卡扣",2,"13_3_1",
384,"插入PTC暖风进水管",2,"13_2",
385,"用钳子安装PTC暖风进水管卡扣",2,"13_2_1",
,,,,
386,"插入空调PTC低压插接件",2,"13_1",
,,,,
387,"拆卸蓄电池胶垫",1,"13_4",
388,"用中号棘轮扳手、接杆和10号六角套筒拆卸蓄电池支架4颗螺栓",1,"13_5_1,13_5_2,13_5_3,13_5_4",
389,"拆卸蓄电池支架",1,"13_5",
,,,,
390,"安装蓄电池支架",2,"13_5",
391,"用中号棘轮扳手、接杆和10号六角套筒预紧蓄电池支架4颗螺栓",2,"13_5_1,13_5_2,13_5_3,13_5_4",
392,"用40N.m扭力扳手、接杆和10号六角套筒紧固螺栓至标准力矩9±1N.m",3,"13_5_1,13_5_2,13_5_3,13_5_4",
393,"安装蓄电池胶垫",2,"13_4",
,,,,
,,,,
,,,,
394,"拔出电动压缩机低压插接件",1,"14_3",
,,,,
395,"用中号棘轮扳手、接杆和10号六角套筒拆卸电动压缩机高压管道接口2颗螺栓",1,"14_1_1,14_1_2",
396,"取下电动压缩机高压管道接口",1,"14_1",
397,"用中号棘轮扳手、接杆和10号六角套筒拆卸电动压缩机低压管道接口2颗螺栓",1,"14_2_1,14_2_2",
398,"取下电动压缩机低压管道接口",1,"14_2",
,,,,
399,"安装电动压缩机低压管道接口",2,"14_2",
400,"用中号棘轮扳手、接杆和10号六角套筒预紧电动压缩机低压管道接口2颗螺栓",2,"14_2_1,14_2_2",
401,"用40N.m扭力扳手、接杆和10号六角套紧固螺栓至标准力矩9±1N.m",3,"14_2_1,14_2_2",
402,"安装电动压缩机高压管道接口",2,"14_1",
403,"用中号棘轮扳手、接杆和10号六角套筒预紧电动压缩机高压管道接口2颗螺栓",2,"14_1_1,14_1_2",
404,"用40N.m扭力扳手、接杆和10号六角套紧固螺栓至标准力矩9±1N.m",3,"14_1_1,14_1_2",
,,,,
405,"插入电动压缩机低压插接件",2,"14_3",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8001,"放置电池举升装置",7,1,
8002,"举升电池举升装置",7,2,
8003,"降下电池举升装置",7,3,
8004,"将电池举升装置放回原位",7,4,
,,,,
,,,,
9004,"穿戴安全防护套装",6,"2,4,8,32,1",
